Text Description,Participant ID,Playlist ID,Video ID,Segment Name,CMA,Valence,Arousal
"In this video childrens were shown whoes homes were destroyed during war and they are seperated from family. I felt sad watching this video. Because war has seperated these childrens from their home and destroyed their home and they have to leave their home and faced difficulties. I felt sad because they have to leave their home behind. When the video started I got little confused about what have happended, but later I felt sad.",1,1,1,TheDisplaced,LVLA,4,3
In this video people and childrens were shown in slum area. The video ended on a happy note with a person playing guitar. In the starting of video their was a lot of confusion and disturbance and crowded place was shown. But when the guitar started playing the emotion was of positveness and hope. It started with little confusion and ended with hope.,1,1,2,HappyLand,LVLA,3,4
"In this video a person who was confined in jail run aways from jail. I didn't felt good watching this, I was feeling bad that he ran away from jail. I felt bad because he was person who performed vilonce and then ran away from jail. ",1,1,3,Jailbreak,LVHA,3,3
"This video was about war and it impact all nation equally. In this video their were scenes of war, tankers, bar and the time of world war is shown. Due to computer generated graphics in between I felt this video was a little superficial. I felt quite sad about seeing the impact of war on the people.",1,1,4,Warknownonation,LVHA,2,2
In this video I jumped into a canyon using a rope. It felt a little scary. I felt scared when the person jumped into the canyon. I felt there is nothing infront of me and at the back of me and I was haning in midst of no-where.,1,1,5,CanyonSwing,HVHA,3,3
In this video I felt pleasant and relaxed. I was in forest it felt silent and nice.,1,1,6,Redwoods,HVLA,3,3
I felt sacred and little enthusiasitic but at some point in video I felt a liitle nausea. I was scared of the height.,1,1,7,Speedflying,HVHA,4,4
It was about sea and beach. I felt relaxed. There was sunset. There was a ship. I felt excited in the ship. There was slide shown in between the video where I felt excited It was a good relaxed video.,1,1,8,InstantCaribbean,HVLA,4,2
"Firstly, the first video started, and I was like, it was really nice like I was feeling like I was actually there, but the situation wasn't good. And there was a child, and firstly, I thought it's like kind of a horror movie or something, but then I got to know, no, it's not a horror movie, it's an actual thing. Yeah, so in the first video when it started, there were two kids, one was Shawn, and I don't remember the first name. And then, a little bit of the intro, and then their story started, and I felt really sad when it was said that Shawn was killed by crocodiles rather than surviving. It was so sad, and she lost her mother. it's really sad that people who are just living a happy life, but just because of this displacement, they are at their lowest.",2,1,1,TheDisplaced,LVLA,2,3
"so it's a situation common in every country, people living in poor conditions. And you felt bad for the kids. You felt like it was very real, like you were actually there like i have seen such places in India also and really feeling bad for these little little kids and it was very. They were so cute and they were so curious for people recording them. yeah so actually it was feeling very real like I  was there only . but yeah as also feeling like  actually, we, actually government  or something is actually or we actually are also not doing something on larger scale . ",2,1,2,HappyLand,LVLA,1,3
