Participant ID,Playlist ID,Video ID,CMA,Valence,Arousal,Dominance,significance
1,1,0,Baseline,3,2,3,3
1,1,1,LVLA,4,3,2,3
1,1,2,LVLA,3,4,4,3
1,1,3,LVHA,3,3,3,2
1,1,4,LVHA,2,2,4,1
1,1,5,HVHA,3,3,3,4
1,1,6,HVLA,3,3,3,3
1,1,7,HVHA,4,4,3,3
1,1,8,HVLA,4,2,3,3
2,1,0,Baseline,3,4,4,3
2,1,1,LVLA,2,3,5,4
2,1,2,LVLA,1,3,4,4
2,1,3,LVHA,3,4,3,4
2,1,4,LVHA,4,2,2,4
2,1,5,HVHA,5,5,2,4
2,1,6,HVLA,3,5,4,2
2,1,7,HVHA,2,4,3,2
2,1,8,HVLA,5,5,4,4
3,3,0,Baseline,4,3,2,3
3,3,1,LVHA,3,1,3,2
3,3,2,HVLA,2,5,4,2
3,3,3,LVLA,2,3,5,2
3,3,4,HVHA,5,2,4,2
3,3,5,HVLA,3,5,4,4
3,3,6,LVHA,4,5,4,4
3,3,7,LVLA,2,4,3,2
3,3,8,HVHA,3,5,3,2
4,4,0,Baseline,3,1,5,1
4,4,1,LVHA,5,3,2,1
4,4,2,HVLA,5,1,5,3
4,4,3,LVHA,4,2,5,1
4,4,4,HVHA,4,1,5,1
4,4,5,HVLA,4,2,5,3
4,4,6,LVLA,5,4,5,3
4,4,7,LVLA,2,3,4,5
4,4,8,HVHA,5,4,4,1
5,4,0,Baseline,4,3,3,3
5,4,1,LVHA,4,2,2,3
5,4,2,HVLA,5,2,4,3
5,4,3,LVHA,3,2,3,3
5,4,4,HVHA,4,1,4,3
5,4,5,HVLA,5,1,4,2
5,4,6,LVLA,3,2,3,3
5,4,7,LVLA,3,2,3,3
5,4,8,HVHA,4,2,4,2
6,2,0,Baseline,4,1,5,4
6,2,1,LVLA,2,3,5,4
6,2,2,LVHA,4,4,5,4
6,2,3,LVLA,3,1,5,1
6,2,4,LVHA,3,2,5,2
6,2,5,HVHA,4,4,5,4
6,2,6,HVLA,5,1,5,1
6,2,7,HVHA,5,3,4,2
6,2,8,HVLA,5,1,5,2
8,1,0,Baseline,4,3,3,4
8,1,1,LVLA,3,3,4,2
8,1,2,LVLA,4,4,4,2
8,1,3,LVHA,4,3,3,2
8,1,4,LVHA,3,2,3,3
8,1,5,HVHA,4,1,3,4
8,1,6,HVLA,3,1,3,2
8,1,7,HVHA,4,2,3,2
8,1,8,HVLA,4,2,4,4
9,2,0,Baseline,4,4,3,4
9,2,1,LVLA,3,3,4,4
9,2,2,LVHA,5,2,4,5
9,2,3,LVLA,4,2,5,5
9,2,4,LVHA,5,2,5,4
9,2,5,HVHA,5,4,4,5
9,2,6,HVLA,3,3,4,4
9,2,7,HVHA,3,3,4,4
9,2,8,HVLA,5,2,5,4
10,3,0,Baseline,4,3,4,2
10,3,1,LVHA,4,2,4,2
10,3,2,HVLA,4,1,4,2
10,3,3,LVLA,3,3,3,3
10,3,4,HVHA,5,3,3,4
10,3,5,HVLA,5,3,5,3
10,3,6,LVHA,2,4,3,2
10,3,7,LVLA,2,4,3,3
10,3,8,HVHA,5,3,4,3
11,4,0,Baseline,4,4,3,5
11,4,1,LVHA,5,3,1,4
11,4,2,HVLA,5,3,3,5
11,4,3,LVHA,5,3,3,3
11,4,4,HVHA,5,3,3,3
11,4,5,HVLA,5,3,3,3
11,4,6,LVLA,5,3,3,3
11,4,7,LVLA,5,3,3,3
11,4,8,HVHA,4,3,3,3
12,1,0,Baseline,5,4,3,3
12,1,1,LVLA,4,4,4,2
12,1,2,LVLA,3,4,4,4
12,1,3,LVHA,4,4,3,3
12,1,4,LVHA,3,3,2,4
12,1,5,HVHA,3,2,2,3
12,1,6,HVLA,3,2,2,4
12,1,7,HVHA,3,3,2,4
12,1,8,HVLA,4,4,4,4
14,2,0,Baseline,4,4,3,4
14,2,1,LVLA,3,3,4,3
14,2,2,LVHA,4,4,3,4
14,2,3,LVLA,4,4,2,4
